"drug","method","selection","n_selected_genes","n_cosmic_in_selected","n_cosmic_in_universe","odds_ratio","odds_ratio_ha","p_value","cosmic_genes_found","p_adj_bh"
"Pictilisib","EN","freq25",12,1,545,7.16283442553289,10.2712899748473,0.140624026454555,"WT1",0.177454128621224
"Pictilisib","EN","freq50",1,0,545,0,26.2068438741216,1,"",1
"Pictilisib","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Pictilisib","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"EP300;WT1",0.156041294615249
"AZD8055","DSEN","freq25",19,1,545,4.37775998507687,6.38381356563175,0.213349858922839,"NF1",0.31762759895816
"AZD8055","DSEN","freq50",5,0,545,0,7.14665444546288,1,"",1
"AZD8055","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"AZD8055","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"ATM;EP300;MET;NF1",0.00588945112474559
"AZD8055","EN","freq25",313,21,545,5.84555421472941,5.96954201396527,6.82771709591924e-10,"AKT1;ASXL1;BAP1;BCL2;CCND3;CDKN1B;CHEK2;CTNNB1;ERBB3;EZH2;HOXA9;KDR;KMT2D;MET;NCOR2;NF1;PIK3R1;PTEN;RB1;WT1;XPO1",3.06668649223491e-09
"AZD8055","EN","freq50",69,6,545,7.56651221683475,8.12550991367043,0.000233167223037275,"AKT1;CCND3;CDKN1B;CTNNB1;KMT2D;NF1",0.000671622979400848
"AZD8055","EN","freq75",11,1,545,7.88107865081944,11.2497704315886,0.129700689803617,"CTNNB1",0.268520959359051
"AZD8055","EN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"CCND3",0.500432762988498
"PD0325901","DSEN","freq25",29,3,545,9.12297147881719,10.4351795496044,0.00563349685381663,"ERBB3;MAP2K1;SRC",0.0123378236881108
"PD0325901","DSEN","freq50",5,1,545,19.7007789079056,26.2531374349556,0.0611881546420108,"MAP2K1",0.154427247429837
"PD0325901","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"PD0325901","DSEN","top50",50,9,545,17.5422466173562,18.2823184630414,1.14567260110989e-08,"AKT1;BCL2;CHEK2;ERBB3;ETV5;MAP2K1;MSI2;NOTCH1;SRC",2.76002944812837e-07
"PD0325901","EN","freq25",37,9,545,25.6718782579334,26.6296986641814,6.5746778509557e-10,"ASXL1;BRAF;ERBB3;KMT2D;KRAS;MAP2K1;MYC;NRAS;RB1",3.00394763879873e-09
"PD0325901","EN","freq50",6,5,545,396.667966136002,290.942028985507,1.81392890574747e-09,"ASXL1;BRAF;KRAS;MAP2K1;NRAS",3.00431975014424e-08
"PD0325901","EN","freq75",2,2,545,Inf,394.558417663293,0.000157168585789389,"BRAF;NRAS",0.00122499044806435
"PD0325901","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"ASXL1;BRAF;CDKN2A;KRAS;MAP2K1;NRAS;RB1",2.05845828099622e-05
"SB590885","DSEN","freq25",57,7,545,11.1437430949601,11.8145839653603,7.24323892458524e-06,"ATM;BRAF;ERBB3;GATA3;MAP2K1;MITF;RET",3.99902038910158e-05
"SB590885","DSEN","freq50",14,3,545,21.5645361169029,24.054698457223,0.000645180244087219,"BRAF;MAP2K1;MITF",0.00462088553197603
"SB590885","DSEN","freq75",2,2,545,Inf,394.558417663293,0.000157168585789389,"BRAF;MAP2K1",0.00378633411219891
"SB590885","DSEN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"ATM;BRAF;ERBB3;MAP2K1;MITF;MYB;PTPN13",1.73825365950792e-05
"SB590885","EN","freq25",4,1,545,26.2528009503212,33.7548209366391,0.0492570741523153,"BRAF",0.0665975747467528
"SB590885","EN","freq50",1,1,545,Inf,236.300275482094,0.012548062533097,"BRAF",0.0244502689064023
"SB590885","EN","freq75",1,1,545,Inf,236.300275482094,0.012548062533097,"BRAF",0.0386655415264037
"SB590885","EN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"BRAF",0.500432762988498
"Selumetinib","DSEN","freq25",1,0,545,0,26.2068438741216,1,"",1
"Selumetinib","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Selumetinib","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Selumetinib","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"BRAF;KIT;MSH2",0.0335160617475657
"Selumetinib","EN","freq25",59,9,545,14.3869036400856,15.0209277218495,5.19865247989205e-08,"ASXL1;BRAF;CHD2;ELF4;ERBB3;MAP2K1;MITF;NRAS;SMARCB1",1.68005232581877e-07
