drug,threshold,n_en_genes,n_dsen_shared_genes,n_dsen_tissue_genes,n_dsen_combined_genes,en_genes_shared_only_pct,en_genes_tissue_only_pct,en_genes_both_pct,en_genes_in_neither_dsen_block_pct,jaccard_en_vs_dsen_shared,jaccard_en_vs_dsen_combined,jaccard_dsen_shared_vs_tissue
Pictilisib,0.5,1,0,14,14,0,100,0,0,0,0.07142857142857142,0
AZD8055,0.5,66,5,56,60,6.0606060606060606,16.666666666666668,1.5151515151515151,75.75757575757575,0.07575757575757576,0.14545454545454545,0.016666666666666666
PD0325901,0.5,6,2,125,125,0,50,16.666666666666668,33.333333333333336,0.14285714285714285,0.031496062992125984,0.016
SB590885,0.5,1,12,1,12,100,0,0,0,0.08333333333333333,0.08333333333333333,0.08333333333333333
Selumetinib,0.5,6,0,5,5,0,16.666666666666668,0,83.33333333333333,0,0.1,0
AZD6482,0.5,2,7,21,21,0,50,50,0,0.125,0.09523809523809523,0.3333333333333333
CCT007093,0.5,33,29,0,29,69.6969696969697,0,0,30.303030303030305,0.5897435897435898,0.5897435897435898,0
EHT-1864,0.5,1,17,0,17,0,0,0,100,0,0,0
Avagacestat,0.5,22,3,3,6,4.545454545454546,9.090909090909092,0,86.36363636363636,0.041666666666666664,0.12,0
BMS-536924,0.5,4,5,15,17,0,0,50,50,0.2857142857142857,0.10526315789473684,0.17647058823529413
Cetuximab,0.5,1,6,0,6,100,0,0,0,0.16666666666666666,0.16666666666666666,0
PF-4708671,0.5,0,0,8,8,NA,NA,NA,NA,NA,0,0
Serdemetan,0.5,19,20,1,20,47.36842105263158,0,5.2631578947368425,47.36842105263158,0.3448275862068966,0.3448275862068966,0.05
HG-5-113-01,0.5,25,0,17,17,0,20,0,80,0,0.13513513513513514,0
HG-5-88-01,0.5,0,4,1,5,NA,NA,NA,NA,0,0,0
TW 37,0.5,55,6,1,7,10.909090909090908,1.8181818181818181,0,87.27272727272727,0.10909090909090909,0.12727272727272726,0
XMD11-85h,0.5,0,6,10,15,NA,NA,NA,NA,0,0,0.06666666666666667
ZG-10,0.5,14,9,0,9,35.714285714285715,0,0,64.28571428571429,0.2777777777777778,0.2777777777777778,0
XMD8-92,0.5,14,1,2,2,0,7.142857142857143,0,92.85714285714286,0,0.06666666666666667,0.5
QL-VIII-58,0.5,1,1,3,4,100,0,0,0,1,0.25,0
CCT-018159,0.5,49,20,10,29,24.489795918367346,6.122448979591836,2.0408163265306123,67.34693877551021,0.23214285714285715,0.25806451612903225,0.034482758620689655
Rucaparib,0.5,0,4,20,23,NA,NA,NA,NA,0,0,0.043478260869565216
GSK269962A,0.5,2,1,10,11,50,0,0,50,0.5,0.08333333333333333,0
SB-505124,0.5,0,5,0,5,NA,NA,NA,NA,0,0,0
Tamoxifen,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
QL-XII-61,0.5,14,3,2,4,0,0,0,100,0,0,0.25
JQ1,0.5,30,0,73,73,0,66.66666666666667,0,33.333333333333336,0,0.24096385542168675,0
PFI-1,0.5,8,5,8,12,50,0,12.5,37.5,0.625,0.3333333333333333,0.08333333333333333
IOX2,0.5,1,1,0,1,100,0,0,0,1,1,0
UNC0638,0.5,51,3,54,55,1.9607843137254901,19.607843137254903,3.9215686274509802,74.50980392156863,0.058823529411764705,0.13978494623655913,0.03636363636363636
YK-4-279,0.5,76,12,3,15,14.473684210526315,1.3157894736842106,0,84.21052631578948,0.14285714285714285,0.1518987341772152,0
CHIR-99021,0.5,41,7,32,36,4.878048780487805,21.951219512195124,7.317073170731708,65.85365853658537,0.11627906976744186,0.2222222222222222,0.08333333333333333
(5Z)-7-Oxozeaenol,0.5,10,5,4,8,10,10,10,70,0.15384615384615385,0.2,0.125
Piperlongumine,0.5,28,2,1,3,7.142857142857143,0,0,92.85714285714286,0.07142857142857142,0.06896551724137931,0
Daporinad,0.5,66,44,63,105,42.42424242424242,6.0606060606060606,3.0303030303030303,48.484848484848484,0.375,0.24817518248175183,0.01904761904761905
Talazoparib,0.5,42,7,4,8,7.142857142857143,2.380952380952381,7.142857142857143,83.33333333333333,0.13953488372093023,0.16279069767441862,0.375
rTRAIL,0.5,5,0,5,5,0,40,0,60,0,0.25,0
UNC1215,0.5,4,1,0,1,25,0,0,75,0.25,0.25,0
SGC0946,0.5,0,0,10,10,NA,NA,NA,NA,NA,0,0
XAV939,0.5,48,31,4,31,45.833333333333336,0,8.333333333333334,45.833333333333336,0.49056603773584906,0.49056603773584906,0.12903225806451613
PLX-4720_repl_1371,0.5,1,3,5,7,0,0,100,0,0.3333333333333333,0.14285714285714285,0.14285714285714285
Trametinib,0.5,14,3,37,39,7.142857142857143,21.428571428571427,7.142857142857143,64.28571428571429,0.13333333333333333,0.10416666666666667,0.02564102564102564
Dabrafenib,0.5,4,7,5,9,25,0,50,25,0.375,0.3,0.3333333333333333
Temozolomide,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Afatinib_repl_1377,0.5,3,27,39,61,33.333333333333336,0,0,66.66666666666667,0.034482758620689655,0.015873015873015872,0.08196721311475409
Bleomycin (50 uM),0.5,75,28,67,85,22.666666666666668,16,10.666666666666666,50.666666666666664,0.32051282051282054,0.3008130081300813,0.11764705882352941
SN-38,0.5,10,8,0,8,30,0,0,70,0.2,0.2,0
Olaparib,0.5,40,4,18,20,5,30,5,60,0.1,0.36363636363636365,0.1
Selumetinib_repl_1498,0.5,10,16,0,16,50,0,0,50,0.23809523809523808,0.23809523809523808,0
Bicalutamide,0.5,0,22,0,22,NA,NA,NA,NA,0,0,0
Refametinib,0.5,10,41,141,167,20,0,50,30,0.1590909090909091,0.041176470588235294,0.08982035928143713
Pictilisib_repl_1527,0.5,0,20,0,20,NA,NA,NA,NA,0,0,0
Pevonedistat,0.5,61,7,9,15,9.836065573770492,1.639344262295082,1.639344262295082,86.88524590163935,0.11475409836065574,0.11764705882352941,0.06666666666666667
Doxorubicin,0.5,3,2,0,2,0,0,0,100,0,0,0
