"gene_symbol","role","is_og","is_tsg","is_fusion","tumour_types_somatic"
"FOXA1","OG",1,0,0,"bladder;breast;prostate"
"FOXL2","OG;TSG",1,1,0,"ovary"
"FOXO1","OG;TSG;fusion",1,1,1,"blood"
"FOXO3","OG;TSG;fusion",1,1,1,"breast"
"FOXO4","OG;TSG;fusion",1,1,1,"multiple"
"FOXP1","OG;fusion",1,0,1,"breast"
"FOXR1","OG;fusion",1,0,1,"multiple"
"FSTL3","OG;fusion",1,0,1,"multiple"
"FUBP1","OG",1,0,0,"blood;brain"
"FUS","TSG;fusion",0,1,1,"multiple"
"GATA1","OG;TSG",1,1,0,"multiple"
"GATA2","OG",1,0,0,"blood;breast"
"GATA3","OG;TSG",1,1,0,"blood;breast;hepatobiliary;pan-gynecological and breast;stomach"
"GLI1","OG;fusion",1,0,1,"multiple"
"GNA11","OG",1,0,0,"uvea"
"GNAQ","OG",1,0,0,"skin;uvea"
"GNAS","OG",1,0,0,"adrenal_gland;breast;colorectal;hepatobiliary;lung;pancreas;prostate;skin;small_intestine;stomach"
"GPC3","OG;TSG",1,1,0,"multiple"
"GPC5","TSG",0,1,0,"bladder"
"GRIN2A","TSG",0,1,0,"breast;skin;stomach"
"GRM3","OG",1,0,0,"brain;skin"
"H3-3A","OG",1,0,0,"bone;brain"
"H3-3B","OG",1,0,0,"bone"
"H3C2","OG",1,0,0,"bladder;blood;brain;breast;esophagus"
"HEY1","OG;fusion",1,0,1,"multiple"
"HIF1A","OG",1,0,0,"multiple"
"HIP1","OG;fusion",1,0,1,"multiple"
"HLF","OG;fusion",1,0,1,"multiple"
"HMGA1","OG;fusion",1,0,1,"multiple"
"HMGA2","OG;fusion",1,0,1,"multiple"
"HNF1A","TSG",0,1,0,"hepatobiliary"
"HNRNPA2B1","OG;fusion",1,0,1,"blood;hepatobiliary"
"HOXA11","OG;TSG;fusion",1,1,1,"multiple"
"HOXA13","OG;fusion",1,0,1,"multiple"
"HOXA9","OG;TSG;fusion",1,1,1,"multiple"
"HOXC11","OG;fusion",1,0,1,"multiple"
"HOXC13","OG;fusion",1,0,1,"multiple"
"HOXD11","OG;fusion",1,0,1,"multiple"
"HOXD13","OG;fusion",1,0,1,"multiple"
"HRAS","OG",1,0,0,"adrenal_gland;bladder;breast;head_and_neck;lung;peripheral_nervous_system;prostate;skin;soft_tissue;thymus;thyroid"
"ID3","TSG",0,1,0,"blood"
