"drug","mse_en","mse_dsen","mse_tglasso","pct_improvement_dsen","pct_improvement_tglasso","winner"
"GSK429286A",0.00466116215607232,0.00460329954243878,0.00515841848259574,1.24137740108784,-10.6680761122121,"DSEN"
"FMK",0.000956834471056511,0.000932644766986765,0.00100098933987506,2.52809705350983,-4.61468207450704,"DSEN"
"QL-XII-47",0.0340378250640351,0.0332748032912007,0.0381440411394381,2.24168780290436,-12.0636852315858,"DSEN"
"Idelalisib",0.0100885512757969,0.00907141775555481,0.0111739072714972,10.0820572987745,-10.7582938920491,"DSEN"
"UNC0638_repl_245",0.0150180146211391,0.0140212912522906,0.0195478732619963,6.63685176764663,-30.16283280535,"DSEN"
"Cabozantinib",0.0100001460174185,0.00876606632709525,0.0113946858312395,12.3406167087331,-13.9451945140797,"DSEN"
"WZ3105",0.0252439405413105,0.0230272969290122,0.0325016061544987,8.78089380962876,-28.7501295659898,"DSEN"
"XMD14-99",0.00167437532052356,0.00148154121842911,0.00191295491958649,11.5167788088368,-14.2488721697312,"DSEN"
"Quizartinib",0.00643279254705906,0.00617225177441016,0.00656659294849558,4.05019702940698,-2.07997382874862,"DSEN"
"CP724714",0.00300102987715741,0.00287374053909697,0.00289827275416781,4.24152185319159,3.4240619785809,"DSEN"
"JW-7-24-1",0.0226371581502502,0.0208933019481193,0.0286906824822556,7.70351203342909,-26.7415383672552,"DSEN"
"NPK76-II-72-1",0.0175960582690285,0.0153029848188342,0.0229253991121386,13.0317450370713,-30.2871288650509,"DSEN"
"STF-62247",0.00148170292188836,0.00139908929189681,0.00169117409457734,5.57558662881375,-14.1371910384046,"DSEN"
"NG-25",0.0219534262047255,0.0171391506147919,0.0305406048772403,21.9294954010291,-39.1154373464785,"DSEN"
"TL-1-85",0.0157973240288686,0.0123284412756342,0.0235909637437341,21.9586731708183,-49.3351893056262,"DSEN"
"VX-11e",0.0117522961608173,0.0114915845058632,0.0128318213016881,2.21838908232525,-9.18565296601346,"DSEN"
"FR-180204",0.00140417374977492,0.00137591142486332,0.00143354924309948,2.01273702176318,-2.09201271062565,"DSEN"
"Tubastatin A",0.00537303260531307,0.00476033002163868,0.00667319302552044,11.4032917475417,-24.19788815206,"DSEN"
"Zibotentan",0.000184807332385612,0.000184807332385612,0.000187748837689588,0,-1.59166049636947,"EN"
"Sepantronium bromide",0.0603056059096046,0.0578061890032335,0.0661158917782012,4.14458468441162,-9.63473591046569,"DSEN"
"NSC-207895",0.0073278486934947,0.00718446653584814,0.00774901761483799,1.95667464823404,-5.74751115859124,"DSEN"
"VNLG/124",0.00309572153868684,0.00287888736146879,0.00379453422382132,7.00431787899205,-22.5734994702045,"DSEN"
"AR-42",0.0353967114278497,0.0324718300098774,0.0458000574497396,8.26314451254655,-29.3907134370248,"DSEN"
"CUDC-101",0.0381734603541506,0.0357117442356237,0.0483645490461754,6.44876334418878,-26.69679038127,"DSEN"
"Belinostat",0.0454686618635747,0.0422061108823524,0.0559565490614179,7.17538376434156,-23.0661883767579,"DSEN"
"I-BET-762",0.016293448166895,0.0143267476759673,0.0264638794495502,12.0704989562838,-62.4203739962144,"DSEN"
"CAY10603",0.0362820024463422,0.0331525952847039,0.0468165201621653,8.62523276179811,-29.0351055772148,"DSEN"
"Linifanib",0.00685879135857141,0.00670617324446118,0.00702241450570052,2.22514589133119,-2.3855973826151,"DSEN"
"BIX02189",0.00548187292090532,0.00473009500380426,0.00667733010964081,13.7138880807347,-21.8074589831619,"DSEN"
"Alectinib",0.00853070323087053,0.00792564673685709,0.00878677423007109,7.0926918641817,-3.00175720887701,"DSEN"
"Pelitinib",0.0292863015255659,0.0287855481006832,0.0331908279084059,1.70985545732213,-13.3322617723904,"DSEN"
"Omipalisib",0.0432279701319115,0.0413475834177656,0.0504782113430386,4.34993063150511,-16.7721065527777,"DSEN"
"KIN001-236",0.00108353754969867,0.000927090893377175,0.00122852136780167,14.4385080484753,-13.3805993288668,"DSEN"
"KIN001-244",0.0115304702156639,0.0104723959528595,0.0145218830496848,9.1763323005425,-25.9435459098375,"DSEN"
"WHI-P97",0.00316498302895885,0.00312609380487766,0.00327037220230256,1.22873404771409,-3.32984955620373,"DSEN"
"KIN001-260",0.00406136512962695,0.00346058491220858,0.0051199041061364,14.7925684651149,-26.063624981354,"DSEN"
"KIN001-266",0.00493696293739668,0.00491997853799976,0.00525111335951161,0.344025256261606,-6.36323233734027,"DSEN"
